                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.80124,                 1.6733,                 1.9707,                 1.2093,                0.53991,                0.40972,                0.46827,                0.39539,                0.53601,                0.40683,                0.46027,                 0.3766,                0.93717,                 1.9329,                 1.8356,                 1.4194,               0.008416,               0.008416,               0.008416
                     35,                0.79294,                 1.6558,                 1.9605,                 1.2061,                0.53601,                0.41226,                0.47528,                0.40113,                 0.5323,                0.40957,                0.46772,                0.38267,                0.93541,                 1.9296,                 1.8269,                  1.418,              0.0083665,              0.0083665,              0.0083665
                     36,                0.79472,                 1.6652,                 1.9562,                 1.2059,                0.53333,                0.41512,                0.47775,                0.40362,                0.52939,                0.41217,                0.46993,                0.38486,                0.93456,                 1.9272,                 1.8176,                 1.4179,               0.008317,               0.008317,               0.008317
                     37,                0.79239,                 1.6497,                 1.9491,                 1.2036,                0.50932,                0.43982,                0.48152,                0.40747,                0.51044,                0.43122,                0.47359,                0.38824,                 0.9332,                 1.9264,                 1.8111,                 1.4164,              0.0082675,              0.0082675,              0.0082675
                     38,                0.79156,                 1.6551,                 1.9383,                 1.2048,                0.50955,                0.44062,                0.48308,                0.40919,                0.50584,                0.43135,                0.47503,                0.38964,                0.93134,                 1.9233,                 1.8042,                 1.4147,               0.008218,               0.008218,               0.008218
                     39,                0.79017,                 1.6372,                 1.9222,                 1.2023,                0.51427,                0.44467,                0.48682,                0.41251,                0.50557,                0.44129,                0.47908,                0.39321,                0.93065,                   1.92,                 1.7969,                 1.4138,              0.0081685,              0.0081685,              0.0081685
                     40,                0.79221,                 1.6455,                  1.931,                 1.2018,                0.51978,                0.44073,                0.48916,                0.41461,                0.51636,                0.43589,                0.48095,                0.39521,                0.92933,                 1.9163,                 1.7877,                 1.4122,               0.008119,               0.008119,               0.008119
                     41,                0.79162,                 1.6427,                 1.9268,                 1.2019,                0.48702,                0.46077,                0.49416,                0.41911,                0.49021,                0.45377,                0.48568,                0.39842,                0.92964,                 1.9145,                 1.7792,                 1.4114,              0.0080695,              0.0080695,              0.0080695
                     42,                0.78856,                 1.6289,                  1.903,                 1.1996,                 0.4888,                 0.4626,                0.49621,                0.42036,                0.48545,                 0.4581,                0.48851,                0.40016,                0.92802,                 1.9099,                 1.7703,                 1.4089,                0.00802,                0.00802,                0.00802
                     43,                 0.7907,                 1.6359,                 1.9104,                 1.2018,                0.50175,                0.45758,                0.50016,                0.42365,                0.49823,                0.45312,                0.49209,                0.40408,                0.92688,                  1.906,                  1.761,                 1.4074,              0.0079705,              0.0079705,              0.0079705
                     44,                0.79074,                 1.6468,                 1.9152,                 1.2013,                0.52857,                0.44869,                0.50356,                0.42632,                0.52429,                0.44439,                0.49518,                0.40635,                0.92627,                 1.9022,                  1.752,                 1.4056,               0.007921,               0.007921,               0.007921
                     45,                0.79359,                 1.6476,                 1.9123,                 1.1993,                0.51473,                 0.4582,                0.50422,                 0.4272,                0.51162,                0.45327,                0.49575,                0.40726,                0.92397,                 1.8981,                 1.7403,                  1.403,              0.0078715,              0.0078715,              0.0078715
                     46,                0.78325,                 1.6268,                 1.8814,                 1.1959,                0.51804,                0.46314,                0.50772,                 0.4307,                0.51423,                 0.4588,                0.49919,                0.40929,                0.92338,                 1.8935,                 1.7327,                 1.4015,               0.007822,               0.007822,               0.007822
                     47,                0.78944,                 1.6361,                 1.9018,                 1.1962,                0.53355,                0.45662,                0.51104,                0.43388,                0.53044,                0.45152,                0.50229,                0.41272,                0.92186,                 1.8894,                 1.7243,                 1.3996,              0.0077725,              0.0077725,              0.0077725
                     48,                0.78397,                 1.6186,                  1.862,                 1.1934,                0.54017,                0.45999,                   0.51,                0.43431,                 0.5501,                0.44728,                0.50134,                 0.4126,                 0.9203,                 1.8878,                  1.716,                 1.3978,               0.007723,               0.007723,               0.007723
                     49,                0.78578,                 1.6241,                 1.8852,                 1.1967,                0.52807,                0.46297,                0.51187,                0.43615,                0.52432,                0.45868,                0.50322,                0.41412,                0.91917,                 1.8837,                 1.7085,                 1.3959,              0.0076735,              0.0076735,              0.0076735
                     50,                0.78623,                 1.6249,                 1.8745,                 1.1947,                0.53746,                0.47121,                0.51605,                0.44036,                0.53346,                0.46683,                 0.5073,                0.41829,                0.91897,                  1.878,                 1.7017,                 1.3955,               0.007624,               0.007624,               0.007624
                     51,                0.78085,                  1.623,                 1.8615,                 1.1936,                0.52936,                0.47165,                0.52269,                0.44592,                0.52542,                0.46716,                0.51398,                0.42371,                0.91793,                 1.8725,                 1.6922,                 1.3934,              0.0075745,              0.0075745,              0.0075745
                     52,                0.77927,                 1.6167,                 1.8517,                 1.1901,                0.54753,                0.47087,                0.52559,                0.44822,                0.54333,                0.46612,                0.51688,                0.42614,                0.91614,                 1.8653,                 1.6823,                 1.3915,               0.007525,               0.007525,               0.007525
                     53,                0.78231,                 1.6189,                  1.855,                  1.193,                0.54893,                0.46649,                0.53195,                0.45473,                0.54601,                0.46108,                 0.5224,                0.43111,                0.91417,                 1.8608,                 1.6723,                 1.3891,              0.0074755,              0.0074755,              0.0074755
                     54,                0.77788,                 1.6066,                 1.8385,                 1.1905,                0.55232,                0.46376,                0.53109,                0.45335,                0.54818,                  0.459,                  0.522,                0.42973,                0.91147,                 1.8589,                 1.6608,                 1.3862,               0.007426,               0.007426,               0.007426
                     55,                0.78117,                 1.6107,                  1.846,                 1.1915,                0.53429,                0.48719,                0.53552,                0.45627,                0.52972,                0.48302,                0.52579,                0.43315,                0.91112,                 1.8557,                 1.6525,                 1.3856,              0.0073765,              0.0073765,              0.0073765
                     56,                0.78071,                 1.6153,                 1.8417,                 1.1893,                0.54995,                0.48149,                0.53755,                0.45731,                0.53865,                0.48253,                0.52876,                0.43553,                0.90988,                 1.8515,                 1.6433,                 1.3841,               0.007327,               0.007327,               0.007327
                     57,                  0.774,                 1.6035,                  1.832,                 1.1866,                0.55936,                0.48072,                0.54284,                0.46209,                0.55617,                0.47693,                0.53435,                0.43926,                 0.9086,                 1.8467,                 1.6338,                 1.3828,              0.0072775,              0.0072775,              0.0072775
                     58,                0.77657,                 1.6026,                 1.8245,                 1.1877,                0.56798,                 0.4829,                0.54273,                0.46278,                 0.5647,                0.47911,                0.53383,                0.43888,                0.90712,                 1.8441,                 1.6225,                 1.3807,               0.007228,               0.007228,               0.007228
                     59,                0.77535,                 1.6023,                 1.8179,                 1.1855,                0.57097,                0.47913,                0.54712,                0.46556,                0.56771,                0.47533,                0.53821,                0.44244,                0.90562,                   1.84,                 1.6107,                 1.3792,              0.0071785,              0.0071785,              0.0071785
                     60,                0.77142,                 1.5968,                 1.8091,                 1.1841,                0.57247,                0.47815,                0.54829,                0.46686,                 0.5109,                0.50134,                0.54153,                 0.4436,                0.90597,                 1.8358,                 1.6025,                 1.3791,               0.007129,               0.007129,               0.007129
                     61,                0.77048,                 1.5844,                 1.7995,                  1.182,                0.53289,                0.49712,                0.55218,                0.46962,                0.51669,                0.50117,                0.54537,                0.44582,                0.90606,                  1.832,                 1.5944,                 1.3786,              0.0070795,              0.0070795,              0.0070795
                     62,                0.77534,                 1.5914,                 1.8046,                  1.185,                0.56039,                0.49138,                 0.5569,                0.47362,                0.53647,                0.49103,                0.55011,                0.44906,                 0.9071,                  1.828,                 1.5874,                 1.3792,                0.00703,                0.00703,                0.00703
                     63,                0.77182,                 1.5786,                  1.793,                 1.1814,                 0.5583,                0.48705,                0.55869,                0.47382,                0.54055,                0.48965,                0.55205,                0.44952,                0.90607,                 1.8251,                 1.5759,                 1.3777,              0.0069805,              0.0069805,              0.0069805
                     64,                0.77332,                 1.5929,                 1.8077,                 1.1859,                0.57217,                0.48791,                0.56493,                0.47982,                0.50647,                0.51016,                0.55814,                0.45494,                0.90428,                 1.8212,                 1.5677,                 1.3755,               0.006931,               0.006931,               0.006931
                     65,                0.77053,                 1.5831,                 1.7906,                 1.1818,                0.51316,                0.51193,                0.57399,                0.48618,                0.50309,                0.50965,                0.56739,                0.46104,                 0.9033,                 1.8179,                 1.5599,                  1.374,              0.0068815,              0.0068815,              0.0068815
                     66,                0.76719,                 1.5758,                 1.7816,                 1.1798,                 0.5286,                0.51039,                 0.5772,                0.48901,                0.51726,                0.50749,                0.57053,                0.46312,                0.90264,                 1.8147,                 1.5513,                 1.3727,               0.006832,               0.006832,               0.006832
                     67,                0.77375,                 1.5876,                 1.7937,                  1.183,                0.54888,                 0.5061,                0.57466,                0.48698,                0.51722,                0.50745,                0.56818,                0.46098,                0.90171,                 1.8115,                 1.5435,                 1.3709,              0.0067825,              0.0067825,              0.0067825
                     68,                0.76486,                 1.5697,                 1.7694,                  1.182,                0.54352,                0.50583,                0.57593,                0.48873,                0.51559,                0.50732,                 0.5696,                 0.4617,                0.90041,                 1.8067,                 1.5359,                 1.3689,               0.006733,               0.006733,               0.006733
                     69,                0.76892,                 1.5798,                 1.7686,                 1.1811,                0.54905,                0.50338,                0.57626,                0.48941,                0.54628,                0.49962,                0.56967,                0.46227,                0.89985,                 1.8042,                 1.5279,                 1.3683,              0.0066835,              0.0066835,              0.0066835
                     70,                0.76445,                 1.5643,                 1.7609,                 1.1782,                 0.5564,                0.50484,                0.57723,                0.49049,                0.55371,                0.50114,                0.56811,                0.46229,                0.89938,                 1.8002,                 1.5219,                 1.3675,               0.006634,               0.006634,               0.006634
                     71,                0.76253,                 1.5691,                 1.7615,                 1.1773,                0.55755,                0.50499,                0.57977,                0.49346,                0.55561,                0.50171,                0.57026,                0.46543,                 0.8981,                 1.7981,                 1.5135,                 1.3667,              0.0065845,              0.0065845,              0.0065845
